height_cm,weight_kg,label_text,label_num
179.8,66.1,男,1
172.3,62.8,男,1
172.8,77.9,男,1
161.4,51.9,女,0
175.5,76.7,男,1
151.3,51.9,女,0
161.2,58.2,女,0
157.3,60.2,女,0
164.3,59.1,女,0
166.8,46.4,女,0
163.3,54.5,女,0
160.1,59.5,女,0
157.3,61.3,女,0
168.2,58.8,女,0
188.0,59.1,男,1
163.2,45.6,女,0
169.0,72.3,男,1
164.9,52.2,女,0
172.5,68.7,男,1
162.4,49.1,女,0
165.7,57.6,女,0
168.6,68.6,男,1
180.4,59.8,男,1
162.6,44.0,女,0
156.3,59.1,女,0
184.5,82.6,男,1
161.9,49.4,女,0
167.3,71.3,男,1
161.0,46.7,女,0
175.1,73.1,男,1
166.1,45.5,女,0
162.7,53.2,女,0
163.7,56.9,女,0
154.8,50.8,女,0
176.5,64.2,男,1
159.2,52.6,女,0
162.4,56.1,女,0
177.7,83.8,男,1
173.6,78.9,男,1
180.5,66.0,男,1
168.7,49.0,女,0
176.7,81.7,男,1
183.4,61.7,男,1
157.5,58.1,女,0
165.6,57.9,女,0
169.7,61.1,男,1
190.0,83.2,男,1
160.3,64.7,女,0
166.1,59.3,女,0
165.6,63.4,男,1
166.1,71.8,男,1
173.7,84.1,男,1
157.4,55.1,女,0
176.2,73.6,男,1
181.9,70.0,男,1
168.3,64.8,男,1
171.0,75.1,男,1
159.8,50.7,女,0
158.3,52.2,女,0
165.0,54.4,女,0
168.2,58.2,女,0
168.9,69.6,男,1
156.7,52.0,女,0
163.8,60.5,男,1
159.6,55.9,女,0
164.4,53.0,女,0
166.3,52.8,女,0
164.6,59.6,女,0
185.4,68.7,男,1
170.8,69.1,男,1
168.8,71.0,男,1
166.8,44.1,女,0
172.5,80.4,男,1
161.7,53.8,女,0
165.4,47.2,女,0
168.4,82.3,男,1
177.0,71.5,男,1
165.4,73.4,男,1
173.8,58.0,女,0
177.8,62.3,男,1
173.4,69.7,男,1
183.8,60.2,男,1
177.3,71.4,男,1
167.2,52.9,女,0
172.7,56.6,男,1
164.0,52.7,女,0
171.6,62.8,男,1
176.0,68.7,男,1
176.5,77.5,男,1
161.1,66.9,男,1
180.4,60.2,男,1
157.5,52.5,女,0
163.2,48.5,女,0
171.1,87.0,男,1
176.4,66.4,男,1
174.1,66.8,男,1
166.8,60.6,女,0
179.1,66.7,男,1
158.3,47.6,女,0
164.0,56.0,女,0
